emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
J.W.B. INC,241.0,500.0,1205.0,3792.0,20.73,15.73,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,320.0,13.0,1547.0,338.0,5.89,1.06,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,280.0,13.0,906.0,143.0,3.75,0.51,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,124.0,13.0,5916.0,592.0,52.48,4.77,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,120.0,13.0,299.0,152.0,3.76,1.27,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,520.0,13.0,2589.0,281.0,5.52,0.54,ESSP
MARRIOTT HOTEL SERVICES  INCORPORATED,130.0,13.0,284.0,122.0,3.12,0.94,ESSP
1807 CORPORATION,600.0,350.0,77.0,21.0,0.16,0.04,ESSP
1807 CORPORATION,370.0,350.0,494.0,35.0,1.43,0.09,ESSP
RITZ CARLTON HOTEL LLC,102.0,13.0,5002.0,2879.0,77.26,28.23,ESSP
RITZ CARLTON HOTEL LLC,237.0,13.0,11177.0,7417.0,78.46,31.3,ESSP
RITZ CARLTON HOTEL LLC,272.0,13.0,13828.0,9520.0,85.84,35.0,ESSP
RITZ CARLTON HOTEL LLC,950.0,13.0,5688.0,3066.0,9.21,3.23,ESSP
RITZ CARLTON HOTEL LLC,890.0,13.0,6017.0,820.0,7.68,0.92,ESSP
RITZ CARLTON HOTEL LLC,226.0,13.0,8010.0,4676.0,56.13,20.69,ESSP
RITZ CARLTON HOTEL LLC,280.0,13.0,11315.0,7046.0,65.58,25.16,ESSP
LUCKY LINCOLN HOUSE CORP,74.0,5.0,370.0,1336.98,23.07,18.07,ESSP
