"","Region","Year","specialization","seats"
"691","Central",2016,"public_health",27
"692","Central",2017,"public_health",27
"693","Central",2018,"public_health",39
"694","Central",1998,"radiation",31
"695","Central",1999,"radiation",31
"696","Central",2000,"radiation",31
"697","Central",2001,"radiation",31
"698","Central",2002,"radiation",31
"699","Central",2003,"radiation",31
"700","Central",2004,"radiation",31
"701","Central",2005,"radiation",31
"702","Central",2006,"radiation",31
"703","Central",2007,"radiation",31
"704","Central",2008,"radiation",31
"705","Central",2009,"radiation",32
"706","Central",2010,"radiation",32
"707","Central",2011,"radiation",37
"708","Central",2012,"radiation",39
"709","Central",2013,"radiation",39
"710","Central",2014,"radiation",49
"711","Central",2015,"radiation",51
"712","Central",2016,"radiation",51
"713","Central",2017,"radiation",63
"714","Central",2018,"radiation",66
"715","Central",1998,"rehab",0
"716","Central",1999,"rehab",0
"717","Central",2000,"rehab",0
"718","Central",2001,"rehab",0
"719","Central",2002,"rehab",0
"720","Central",2003,"rehab",0
"721","Central",2004,"rehab",0
"722","Central",2005,"rehab",0
"723","Central",2006,"rehab",0
"724","Central",2007,"rehab",0
"725","Central",2008,"rehab",0
"726","Central",2009,"rehab",0
"727","Central",2010,"rehab",0
"728","Central",2011,"rehab",0
"729","Central",2012,"rehab",0
"730","Central",2013,"rehab",0
"731","Central",2014,"rehab",0
"732","Central",2015,"rehab",0
"733","Central",2016,"rehab",0
"734","Central",2017,"rehab",0
"735","Central",2018,"rehab",0
"736","Central",1998,"reproduction",61
"737","Central",1999,"reproduction",61
"738","Central",2000,"reproduction",61
"739","Central",2001,"reproduction",61
"740","Central",2002,"reproduction",61
"741","Central",2003,"reproduction",61
"742","Central",2004,"reproduction",61
"743","Central",2005,"reproduction",61
"744","Central",2006,"reproduction",38
"745","Central",2007,"reproduction",38
"746","Central",2008,"reproduction",38
"747","Central",2009,"reproduction",40
"748","Central",2010,"reproduction",40
"749","Central",2011,"reproduction",44
"750","Central",2012,"reproduction",46
"751","Central",2013,"reproduction",46
"752","Central",2014,"reproduction",50
"753","Central",2015,"reproduction",50
"754","Central",2016,"reproduction",54
"755","Central",2017,"reproduction",64
"756","Central",2018,"reproduction",93
"757","Central",1998,"research",0
"758","Central",1999,"research",0
"759","Central",2000,"research",0
"760","Central",2001,"research",0
"761","Central",2002,"research",0
"762","Central",2003,"research",0
"763","Central",2004,"research",0
"764","Central",2005,"research",0
"765","Central",2006,"research",0
"766","Central",2007,"research",0
"767","Central",2008,"research",0
"768","Central",2009,"research",0
"769","Central",2010,"research",0
"770","Central",2011,"research",0
"771","Central",2012,"research",0
"772","Central",2013,"research",0
"773","Central",2014,"research",0
"774","Central",2015,"research",0
"775","Central",2016,"research",0
"776","Central",2017,"research",0
"777","Central",2018,"research",0
"778","Central",1998,"skin",1
"779","Central",1999,"skin",1
"780","Central",2000,"skin",1
"781","Central",2001,"skin",1
"782","Central",2002,"skin",1
"783","Central",2003,"skin",1
"784","Central",2004,"skin",1
"785","Central",2005,"skin",1
"786","Central",2006,"skin",1
"787","Central",2007,"skin",1
"788","Central",2008,"skin",1
"789","Central",2009,"skin",1
"790","Central",2010,"skin",3
"791","Central",2011,"skin",7
"792","Central",2012,"skin",7
"793","Central",2013,"skin",8
"794","Central",2014,"skin",9
"795","Central",2015,"skin",9
"796","Central",2016,"skin",9
"797","Central",2017,"skin",11
"798","Central",2018,"skin",15
"799","Central",1998,"sport",0
"800","Central",1999,"sport",0
"801","Central",2000,"sport",0
"802","Central",2001,"sport",0
"803","Central",2002,"sport",0
"804","Central",2003,"sport",0
"805","Central",2004,"sport",0
"806","Central",2005,"sport",0
"807","Central",2006,"sport",0
"808","Central",2007,"sport",0
"809","Central",2008,"sport",0
"810","Central",2009,"sport",0
"811","Central",2010,"sport",0
"812","Central",2011,"sport",0
"813","Central",2012,"sport",0
"814","Central",2013,"sport",0
"815","Central",2014,"sport",0
"816","Central",2015,"sport",0
"817","Central",2016,"sport",0
"818","Central",2017,"sport",0
"819","Central",2018,"sport",0
"820","Central",1998,"std",1
"821","Central",1999,"std",1
"822","Central",2000,"std",1
"823","Central",2001,"std",1
"824","Central",2002,"std",1
"825","Central",2003,"std",1
"826","Central",2004,"std",1
"827","Central",2005,"std",1
"828","Central",2006,"std",1
"829","Central",2007,"std",1
"830","Central",2008,"std",1
"831","Central",2009,"std",1
"832","Central",2010,"std",3
"833","Central",2011,"std",7
"834","Central",2012,"std",7
"835","Central",2013,"std",8
"836","Central",2014,"std",9
"837","Central",2015,"std",9
"838","Central",2016,"std",9
"839","Central",2017,"std",11
"840","Central",2018,"std",15
"841","Central",1998,"transport",0
"842","Central",1999,"transport",0
"843","Central",2000,"transport",0
"844","Central",2001,"transport",0
"845","Central",2002,"transport",0
"846","Central",2003,"transport",0
